train_number,train_name,source,destination,running_days
12221,HOWRAH DURONTO,PUNE JN,HOWRAH JN,1000010
12219,SC DURONTO EXP,LOKMANYATILAK T,SECUNDERABAD JN,10010
12220,LTT DURONTO,SECUNDERABAD JN,LOKMANYATILAK T,100100
12228,MUMBAI DURONTO,INDORE JN BG,MUMBAI CENTRAL,101
12222,HWH PUNE DURONTO,HOWRAH JN,PUNE JN,1010
12224,ERS LTT DURONTO,ERNAKULAM JN,LOKMANYATILAK T,10001
12227,INDORE DURONTO,MUMBAI CENTRAL,INDORE JN BG,1010
12223,LTT ERS DURONTO,LOKMANYATILAK T,ERNAKULAM JN,100010
12214,YPR DURONTO EXP,DELHI S ROHILLA,YESVANTPUR JN,1000000
12240,HSR MMCT DURONTO,HISAR,MUMBAI CENTRAL,101000
12260,SDAH DURONTO,BIKANER JN,SEALDAH,1101100
12259,BKN DURONTO EXP,SEALDAH,BIKANER JN,1011001
12261,HOWRAH DURONTO,C SHIVAJI TERM MUMBAI,HOWRAH JN,111001
12246,DURONTO EXPRESS,SMVT BENGALURU,HOWRAH JN,1101101
12245,HWH SMVB DURONTO,HOWRAH JN,SMVT BENGALURU,110111
12262,HWH CSTM DURONTO,HOWRAH JN,C SHIVAJI TERM MUMBAI,1110100
12263,NZM DURONTO EXP,PUNE JN,H NIZAMUDDIN,100100
12265,DEE JAT DURONTO,DELHI S ROHILLA,JAMMU TAWI,100101
12268,MMCT DURONTO EXP,HAPA,MUMBAI CENTRAL,1111111
12267,RJT DURONTO EXP,MUMBAI CENTRAL,HAPA,1111111
12266,DURONTO EXPRESS,JAMMU TAWI,DELHI S ROHILLA,1010010
12269,DURONTO EXPRESS,CHENNAI CENTRAL,H NIZAMUDDIN,1000100
12264,PUNE DURONTO EXP,H NIZAMUDDIN,PUNE JN,1001000
12270,MAS DURONTO EXP,H NIZAMUDDIN,CHENNAI CENTRAL,100010
12274,HWH DURONTO EXP,NEW DELHI,HOWRAH JN,100010
12273,NDLS DURONTO,HOWRAH JN,NEW DELHI,1000100
