station_code,station_name,lat,lon,state,zone
AA,ATARIA,27.172457,80.861033,Uttar Pradesh,NER
AABH,AMBIKA BHAWANI HALT,25.751434,84.969003,,
AADR,Amb Andora,31.670727,76.110391,,
AAG,ANGAR,17.954256,75.599875,,
AAH,ITEHAR,26.562635,78.683783,Madhya Pradesh,NCR
AAK,ANKAI KILA,20.18318,74.436855,,
AAL,AMLAI,23.173469,81.593507,,
AAM,Angadippuram,10.979489,76.207343,Kerala,SR
AAP,AMBIAPUR,26.515364,79.826878,,
AAR,ADESAR,23.552978,70.972051,Gujarat,WR
AAS,ASRANADA,26.397374,73.305325,,
AAY,ARALVAYMOZHI,8.249451,77.529265,Tamil Nadu,SR
AB,AMBUR,12.782934,78.721266,,
ABB,ABADA,22.547877,88.199392,,
ABD,AMBLI ROAD,23.05437,72.494044,,
ABE,Ambikeshwar,26.368567,77.963828,Madhya Pradesh,NCR
ABEO,Pattaravakkam,13.1145,80.166181,,SR
ABFC,AMBARI FALAKATA,26.641553,88.510593,,
ABGT,ARBAGATTA HALT,13.907468,76.134971,Karnataka,SWR
ABH,AMBARNATH,19.210382,73.184756,,
ABI,AMBATURAI,10.272226,77.924468,,
ABKA,AMBIKA KALNA,23.211377,88.353984,West Bengal,ER
ABKP,AMBIKAPUR,23.137032,83.145109,Chhattisgarh,SECR
ABLE,AMBALE,18.398719,74.171511,Maharashtra,CR
ABO,ASTHAL BOHAR,28.857765,76.629155,Haryana,NR
ABP,AKBARPUR,26.429818,82.539073,,
ABR,ABU ROAD,24.470775,72.775695,Rajasthan,NWR
ABS,ABOHAR,30.139383,74.195686,Punjab,NR
ABSA,Ambassa,23.930507,91.860783,Tripura,NFR
ABU,AMBATTUR,13.114306,80.152525,,
ABW,Abutara Halt,26.070776,89.586875,West Bengal,NFR
ABX,AMBARI,19.689361,78.216685,Maharashtra,SCR
ABY,AMBIVLI,19.267587,73.17171,,
ABZ,Adgaon Buzurg,21.123876,76.955924,Maharashtra,SCR
ACAB,A-CABIN BONDAMUNDA,22.23969,84.945577,,
ACG,ACHEGAON,20.976217,75.934247,,
ACH,Achalganj,26.444642,80.545415,Uttar Pradesh,NR
ACK,ACHARAPAKKAM,12.406776,79.821722,,
ACL,ANCHELI,20.845167,72.944978,Gujarat,WR
ACLE,AZIMGANJ CITY,24.237941,88.258871,West Bengal,ER
ACN,ADHICHCHANUR,12.05415,79.182478,,
ACND,ACHARYA NARENDRA DEV NAGAR,26.774576,82.156997,,
ACU,ACHUARA HALT,25.45273,85.661087,,
AD,ADONI,15.617035,77.27485,,
ADB,ADILABAD,19.680104,78.535285,Andhra Pradesh,SCR
ADD,ADAS ROAD,22.486628,73.034694,,
ADE,ADARI ROAD,20.986795,70.330818,Gujarat,WR
ADF,ADINA,25.114397,88.12318,,
ADH,ANDHERI,19.117429,72.846853,Maharashtra,WR
ADHL,ADIHALLI,13.28342,76.347284,Karnataka,SWR
ADI,AHMEDABAD JN,23.025515,72.601516,,
ADIJ,AHMEDABAD JN,23.025715,72.601716,,
ADL,ANDUL,22.575169,88.239643,,
ADQ,Adhikari,26.576892,88.169882,,
ADR,Mandi Adampur,29.283136,75.468851,Haryana,NWR
ADRA,ADRA JN,23.495992,86.674665,West Bengal,SER
ADRE,ADRA EAST CABIN,23.492772,86.692871,,
ADSR,ADSR,24.909345,84.192214,,
ADST,ADI SAPTAGRAM,22.95447,88.378872,,
ADT,ADUTURAI,11.009165,79.478668,Tamil Nadu,SR
ADTL,ADHARTAL,23.227389,79.972274,Madhya Pradesh,WCR
ADTP,ADITYAPUR,22.782212,86.158954,,
ADVI,ADAVALI,16.921753,73.592514,Maharashtra,KR
ADX,ADAPUR,26.924721,84.941759,,
AE,Amreli,21.607831,71.228012,Gujarat,WR
AED,AULENDA,27.029152,77.612583,Uttar Pradesh,NCR
AEH,ANANT PAITH,25.95539,78.276132,,
AEJ,ARNEJ,22.582088,72.268322,Gujarat,WR
AEK,Anekal Road,12.723885,77.710727,Karnataka,SWR
